<one employee	Where was killed	Sudanese region of Darfur>
<Which state	allows minors to apply for an order of protection	New Hampshire,>
<111,000	stuck	many refugees are in camps>
<any fatalities	Were as a result of the fighting	deadly>
<personality traits	help an entrepreneur 's busness	Stubborn, delusionally optimistic, creative, fearless, flexible>
<personality traits	help an entrepreneur 's busness	focused>
<Applied Pharmacy	sold	propfol>
<What	is predicted to rise	sea levels>
<No	were	there any serious injuries>
<the survivors of Cyclone Sidr	are from	Bangladesh>
<the survivors of Cyclone Sidr	are from	Patargata,>
<the university board of regents	propose	tuition increase>
<Brazilian	is	Kaka from>
<the judge	say	"took a fair amount of planning,">
<35	killed	At least how many Iraqis were in attacks Sunday>
<and his wife, Barbara,	visited the White House on as president	Bush 's last night>
<George H.W.	visited the White House on as president	Bush 's last night>
<images of the explosion	iReport requesting of	people>
None
<jobs, education and health care	the main issues for	hispanic respondents>
<Meleanie Hain	shot	was by husband in her Pennsylvania home>
<Will	husbands name	Jada 's>
<"strategic partnership"	description of	U , S - Pakistan relationship>
<this	happen at	Danville, Virginia,>
<South Africa	hosted	the 2010 World CUP>
<the relationship	How long has lasted	almost a year>
<triglycerides important for	What are	heart health,>
<unbeaten	is	Inter 's record>
<this season,	is	Inter 's record>
<the top ranked comedian	is	Regan,>
<the top ranked comedian	is	Brian>
<Native New Yorker	insist come to N.Y. to produce	David Foster,>
<more than a dozen	linked	Have deaths been to the drug>
<CNN	is to visit	the bomb squad>
<divers	find a man 's body	near the northern shore of Puerto Rico,>
<Ilja Laurs,	is	the founder>
<police officer	is	crouse>
<Sanlu Group,	one of	China 's leading dairy producers>
<Alleged Nazi camp guard	is	Demjanjuk>
<100 years old,	live	long will half of people>
<Dozens of protesters	detained	are>
<the men	denied	the charges,>
<spill	opened federal waters that were formely closed	Deepwater Horizon>
<Blatter	speak	who is going to speak cnn>
<six years	held	long was he without charges for>
<South Africa	give	Which country to give the Dalai Lama a visa>
<June 5,	taken	On what date the released photo taken>
<2030s	the goal date for launching	construction>
<cricket	played	Lewis what sport>
<Elena Kagan	is not   considered an African - American woman for	high court>
<the U.S.	stop	kills in Afghanistan>
<the U.S.	stop	the number of Taliban and insurgents it>
<the U.S.	stop	kills in Afghanistan under orders from the senior>
<they	How long are the prison terms could face	12 months to 84 months,>
<this article	is about	home foreclosures,>
<How many carats	is the stone	478-carat>
<Cyprus	beat	did Germany>
<Democrats	fires	back>
<Nineteen of the 30 private sellers the undercover investigators dealt with	failed	the integrity test>
<80	age	Mr. Hagman 's>
<controversial new immigration law,	file	Tucson and Flagstaff to file suit against what>
<the state's	file	Tucson and Flagstaff to file suit against what>
<the Iraqi vice president	is	Tariq al-Hashimi,>
<Americans	doing as a way to cope with tough economic times	bartering>
<the woman	Where did work	Sam's Club,>
<Mary Dowden	descended	is from a slave>
<it	take place	Davos,>
<One child was in critical	is	their condition>
<and the three others were in serious	is	their condition>
<Jill Tarter	say	raw>
<they	plan their assault	Bani Walid,>
<they	opened shows For whom	U2>
<the Authorities	What are looking into	why the plane went down during takeoff from Kandahar airfield Monday morning,>
<the art	where is going to be	Denver>
<the art	where is going to be	Seattle>
<the art	where is going to be	Museum>
<estimated percentage	live in militant areas	60 percent>
<Croatia	What number would become	28th>
<the European Athletics Championship	Where was	Barcelona>
<how many people	survived the blaze	two>
<Sabina Guzzanti	made	the documentary>
<Team	plays at   Stamford Bridge	Chelsea>
<the magnitude measured at	What was	4.2>
<Chong Lam,	was responsible for	the counterfeiting>
<Joyce Chan,	was responsible for	the counterfeiting>
<Eric Yuen,	was responsible for	the counterfeiting>
<the people	Where did queue	outside the office of>
<the people	Where did queue	AIA,>
<the film concern	What does	disabled veteran Tomas Young,>
<nine people	arrested	many were>
<a rabbit hole,	stuck	did the man get in>
<Hefner	What say about the puppy	"We both love the puppy,">
<many men in suicide vests	stormed base in " major firefight "	20>
<a pill containing the molecular compound	leads	to prevent the brain process that leads to the disease>
<Which virus	has been detected	H1N1>
<Which virus	has been detected	The>
<CNN.com	ask readers	they think his legacy will be,>
<a man	where was killed	Port-au-Prince, Haiti>
<W.R. Grace & Company and three of its former executives	acquited	was in the asbestos exposure case>
<Chaco	a subsidiary of which company	BP>
<much weight	has Alonzo Bland lost	nearly 240 pounds>
<much weight	has Alonzo Bland lost	So far he>
<Novak Djokovic	lost the opening match at	Sony Ericsson Open>
<183 people	killed	many were>
<cocaine and a smoking device, and battery against an airport screener	do	did he>
<Atlanta, Georgia,	invented	was Coca - Cola>
None
<Micah Emmanuel Lanfer	much weigh	7 pounds, 4 oz>
<woman	said there was no one but them and the camera crew	Lori Diaz,>
<who	testified	Steed>
<Ma Ying-jeou	is	Taiwan 's president>
<they	return to	Waterloo,>
<$11,000	the dollar amount of	the reward>
<the draft report	What say about Iran	could be secretly working on a nuclear weapon>
<not yet clear,	the cause of	the crash>
<the gunman	many kill	people>
<the gunman	many kill	Ten>
<Desiree Rogers,	came	under scrutiny>
<municipal water utilities	makes	tests public>
<city official	many attackers among the dead says	Three>
<southern	was	part of the suburb of Colombo the blast>
<experts	said about the incest	happening, because the perpetrator is someone related to him or her,>
<Kurt Russell	did	Cahan photograph>
<Picower	What rank have according to Forbes	No. 371>
<Williams'	caused	has controversy>
<Venus	caused	has controversy>
<those traveling near the Somali coast	needs to use	caution>
<officials	say	Motorcycles>
<Phoenix,	did	In what city an out - of - control school bus crash into dozens of cars>
<foreigners with end-stage illnesses	wants to buy	organs>
<India, Myanmar, Thailand, Indonesia	effected	Which countries were>
<Bangladesh	effected	Which countries were>
<What product	has been recalled	Colorful Hearts Teddy Bears>
<the undercover officers	rescue	baby gorilla>
<how many protesters	were killed	72>
<the international spa association	What say about teens	4 million>
<the international spa association	What say about teens	have been to a>
<"The Rosie Show,"	the name of	her show>
<Bruce Beresford-Redman,	named	has been a person of interest>
<you	end your day What drink with	a glass of champagne>
<Three people were critically injured,	say	authorities>
<Beckham	the star of what	English football>
<Kim Kardashian,	is on	six magazine covers>
<"Vajoliroja"	yacht	Johnny Depp 's>
<children	stolen for	adoption>
<the person	How did die	car accident>
<Paris	pay	Which court eBay to pay $ 63 million in damages to luxury group LVMH>
<Keanu Reeves'	is	the star>
<tuition increase,	protesting	Students are what>
<Aiken County Sheriff's Department	could not respond to	calls>
<Congress	is on a recess in which month	August>
<Six	arrested	many were>
<Who	was a child prodigy	Midori Goto>
<Charlie Gibson	is retiring at	the end of the year>
<Lisa Marie Nowak	What is accused of doing	assaulting a romantic rival>
<he	else travel	China,>
<Guinea-Bissau, a former Portuguese colony,	has a history of	military coups>
<Obama	meet who	Medvedev>
<Haiti	held	are children and held for ransom>
<Evo Morales	is forcing	the congress>
<company	dropped the least number of calls	Verizon>
<the 50th anniversary protest	Where was held	Chinese embassy in London>
<the victim 's aunt	say	"Michael's mother, my sister, died just 13 months after this, never knowing>
<the victim 's aunt	say	happened to her son,">
<the victim 's aunt	say	"We have not forgotten Michael the last 32 years,">
<heavier passengers	cost	extra weight>
<heavier passengers	cost	airlines $275 million extra for fuel>
<justice	brought	U.S. diplomatic mission to Nigeria for killers to be brought to what>
<the atf	what s gon na do	conduct a thorough investigation.">
<the	removed	Brian Mitchell removed from court>
<much money	did 19 searches yield	$438,000>
<$250,000 Hong Kong dollars ($32,200),	was	two thirds of his salary>
<he	How many people is being charged for killing	77>
<Which country	made the drywall	China>
<House Committee	held	the hearings>
<Joseph Kony	leads	this group>
<Clare Abshire (Rachel McAdams)	does Bana ask to marry	him>
<Premier League history	Rangers conceded	that>
<about 1,700 km (1,056 miles)	spotted	far away from Australia it when it was spotted>
<"Float Out,"	has	a surprising ending>
<the company	own	The Venetian Resort Hotel Casino>
<the company	own	Convention Center>
<What position	is Solicitor General Elena Kagan nominated for	Supreme Court justice>
<militant Islamic	blamed	group is for the bombing>
<with ties to al Qaeda	blamed	group is for the bombing>
<Tuesday's verdicts	came	at the end of the men 's retrial>
<How many people	were killed Friday	three>
<How many pages	long was the letter	four-page>
<spSenators	want a federal ban on	texting while driving,>
<Pirates	taken	have control>
<Robinson and Bridges	How long have been dating	two years,>
<which country	In is	Malawi,>
<"Gay Up,"	EMBROIDERED	WILL BE ON>
<the public	antagonizing	The military must how to keep order without antagonizing who>
<CNN.com	asked	readers>
<July 31, 2009,	be	would the deadline for withdrawal>
<Toxins from dumped electronics	creating	is health and environment problems>
<Michael Jordan	photographed	was>
<Bristol	is seeking custody of	Tripp Palin>
<the senate	pass the measure by	The vote was 69-28,>
<the bands name	What is	Spandau Ballet,>
<the celebration about	What was	July Fourth>
<Heidi Klum and Seal	born	A daughter was to what couple>
<future floods	prevent	would it>
<NTSB	What say about the pilot	The>
<Scott Long,	got up 6 a.m. to begin shuttling workers	St>
<Malik	accused of	shooting>
<The suspected killer	died in what year	2006,>
<Megan Fox	stars in	the film>
<Laura Silsby,	held	The U.S church griuo is being by who>
<opted	taking	Eric Braeden to do what , rather than taking a pay cut>
<Chynna Phillips	the name of	MacKenzie 's sister>
<Bijou	the name of	MacKenzie 's sister>
<the attacks	Where did occur	International Airport>
<the attacks	Where did occur	London>
<the attacks	Where did occur	Glasgow>
<$70,000	is	size the reward>
<sport	pays tribute to the Munich air disaster	Football>
<Who	was set to be the first woman to be caned	Kartika Sari Dewi Shukarno's>
<Joshua Hunter,	charged	with two counts of second deg>
<Valenciennes	defeated	Which team was by Lyon>
<Peggy Sue	lives	in texas>
<The proposed constitution	strengthen	will Bolivia 's majority>
<A	passed	a similar amendment already passed by the house>
